DATE	A00	B00	C00	D00	E00	F00
211115	0/0	0/0	0/0	0/0	0/0	0/0
220102	27/27	28/27	27/27	29/27	27/27	29/27
220104	28/28	28/28	28/28	30/28	27/28	29/28
