DATE	A01	A02
220204	0/60	0/60
220212	1/60	0/60
220213	6/60	1/60
220214	9/60	1/60
220215	43/60	2/60
220216	55/60	4/60
220216	58/60	4/60
220218	59/60	5/60
220221	60/60	5/60
220221	60/60	6/60
220222	60/60	7/60
220223	60/60 WL2	24/60
220224	60/60 WL3	26/60
220225	60/60 WL3	27/60
220227	60/60 WL3	28/60
220228	60/60 WL4	28/60
220301	60/60 WL4	30/60
220302	60/60 WL4	33/60
220303	60/60 WL4	36/60
220304	60/60 WL3	37/60
220305	60/60 WL2	37/60
220308	60/60 WL2	36/60
220312	60/60 WL2	37/60
220316	60/60 WL2	38/60
220317	60/60 WL2	39/60
220323	60/60 WL2	40/60
220324	60/60 WL2	39/60
220328	59/60 WL2	39/60
220328	59/60 WL2	43/60
220330	60/60 WL1	47/60
220331	60/60 WL2	49/60
220404	58/60	52/60
