DATE	A01	B01	C01	D01
220204	0/60	N/A	N/A	N/A
220212	2/60	N/A	N/A	N/A
220213	3/60	N/A	N/A	N/A
220214	9/60	N/A	N/A	N/A
220215	16/60	N/A	N/A	N/A
220216	18/60	N/A	N/A	N/A
220218	20/60	N/A	N/A	N/A
220219	22/60	N/A	N/A	N/A
220222	23/60	N/A	N/A	N/A
220228	24/60	N/A	N/A	N/A
220301	25/60	N/A	N/A	N/A
220303	26/60	N/A	N/A	N/A
220304	27/60	N/A	N/A	N/A
220309	27/60	0/14	0/14	0/14
220310	28/60	0/14	0/14	0/14
220314	29/60	0/14	0/14	0/14
220328	28/60	0/14	0/14	1/14
