DATE	A00
220204	0/50
220212	2/50
220213	7/50
220214	9/50
220215	30/50
220216	50/50
220221	50/50 WL5
220222	50/50 WL4
220223	49/50 WL13
220224	50/50 WL16
220225	50/50 WL23
220226	50/50 WL22
220227	50/50 WL23
220228	50/50 WL24
220301	50/50 WL26
220302	50/50 WL24
220303	50/50 WL22
220304	50/50 WL21
220309	67/75 WL4
220312	68/75 WL4
220314	69/75 WL4
220316	68/75 WL4
220317	68/75 WL5
220321	69/75 WL5
220323	71/75 WL4
220324	72/75 WL4
220328	75/75 WL3
220328	75/75 WL5
220330	73/75 WL10
220331	75/75 WL8
220404	74/75 WL7
