DATE	A01	A02
220204	0/35	0/35
220212	0/35	1/35
220213	1/35	1/35
220214	1/35	2/35
220215	6/35	3/35
220216	7/35	3/35
220217	8/35	3/35
220218	14/35	4/35
220219	15/35	4/35
220221	18/35	4/35
220222	18/35	5/35
220223	23/35	9/35
220224	23/35	10/35
220225	29/35	15/35
220226	35/35 WL2	21/35
220227	35/35 WL2	22/35
220228	35/35 WL2	23/35
220301	35/35 WL2	25/35
220302	35/35 WL2	26/35
220303	35/35 WL2	28/35
220304	35/35 WL2	30/35
220305	35/35	31/35
220311	35/35	34/35
220312	35/35	35/35
220321	35/35 WL1	35/35
220323	35/35	34/35
220324	35/35	33/35
