DATE	A01
220204	0/120
220213	3/120
220215	16/120
220216	26/120
220216	37/120
220217	41/120
220218	50/120
220219	49/120
220221	56/120
220222	58/120
220223	74/120
220224	85/120
220225	103/120
220226	118/120
220227	119/120
220228	118/120
220301	120/120 WL4
220302	125/146
220303	122/146
220305	123/146
220306	124/146
220308	127/146
220309	128/146
220310	129/146
220311	127/146
220312	128/146
220314	127/146
220316	125/146
220317	124/146
220321	123/146
220323	120/146
220324	117/146
220328	120/146
220328	130/146
220331	131/146
220404	126/146
220405	121/146
220406	120/146
220407	124/146
220408	122/146
220410	119/146
220412	117/146
