DATE	A00
220204	0/15
220212	1/15
220213	3/15
220216	4/15
220216	5/15
220218	7/15
220222	8/15
220223	9/15
220224	10/15
220225	12/15
220302	13/15
220309	14/15
220323	13/15
220324	14/15
220328	13/15
