DATE	A00
220204	0/40
220213	1/40
220214	2/40
220215	12/40
220216	16/40
220216	17/40
220217	16/40
220218	18/40
220221	25/40
220222	26/40
220223	39/40
220224	40/40 WL7
220226	40/40 WL8
220227	40/40 WL9
220301	40/40 WL8
220302	40/40 WL11
220305	50/50 WL1
220306	50/50 WL2
220308	50/50 WL3
220309	50/50 WL4
220311	50/50 WL6
220321	50/50 WL8
220323	50/50 WL7
220324	50/50 WL9
220328	49/50 WL8
220328	49/50 WL9
220330	47/50 WL10
220331	50/50 WL8
220404	50/50 WL9
220406	50/50 WL8
220407	49/50 WL8
220408	50/50 WL5
