DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014
220204	0/14	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220212	0/20	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10
220223	1/20	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10
220311	1/20	0/10	0/10	0/10	0/10	0/10	1/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10
220316	2/20	0/10	0/10	0/10	0/10	0/10	1/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10
220330	3/20	0/10	0/10	0/10	0/10	0/10	1/10	0/10	0/10	N/A	0/10	0/10	0/10	0/10
220405	4/20	0/10	0/10	0/10	0/10	0/10	1/10	0/10	0/10	N/A	0/10	0/10	0/10	0/10
220406	5/6	0/10	0/10	0/10	0/10	0/10	1/10	0/10	0/10	N/A	0/10	0/10	0/10	0/10
