DATE	A00
220204	0/300
220212	1/300
220213	10/300
220214	12/300
220215	17/300
220216	23/300
220216	34/300
220217	35/300
220218	55/300
220221	67/300
220222	69/300
220223	88/300
220224	114/300
220225	162/300
220226	287/300
220227	299/300
220228	300/300 WL1
220301	300/300 WL4
220302	300/300 WL6
220304	300/300 WL9
220305	300/300 WL10
220306	300/300 WL9
220307	300/300 WL11
220308	300/300 WL10
220309	300/300 WL9
220310	300/300 WL10
220312	300/300 WL11
220314	300/300 WL13
220316	299/300 WL16
220321	299/300 WL14
220323	300/300 WL11
220328	297/300 WL1
220328	297/300 WL16
220330	295/300 WL19
220331	300/300 WL9
220404	298/300 WL2
220405	300/300
220406	299/300 WL3
220407	297/300
220408	299/300 WL1
220410	296/300 WL1
220412	289/300 WL1
