DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	B13	B14	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	D13	D14
220417	17/17	14/17	4/17	17/17	7/17	8/17	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220823	17/17	17/17	17/17	17/17	17/17	17/17	17/17	11/17	14/17	17/17	17/17	16/17	16/17	11/17	10/17	8/17	17/17	17/17	17/17	17/17	17/17	17/17	17/17	17/17	17/17	17/17	17/17	17/17	17/17	17/17	4/17	2/17	3/17	5/17	7/17	4/17	4/17	3/17	1/17	1/17	1/17	3/17	2/17	5/17	3/17	4/17	8/17	17/17	17/17	17/17	17/17	17/17	17/17	13/17	12/17	17/17	17/17	17/17	15/17	12/17
