DATE	A00
220204	0/40
220212	13/40
220213	23/40
220214	24/40
220215	40/40
220216	41/40
220216	42/40
220221	42/40 WL2
220221	42/40 WL6
220223	42/40 WL20
220224	42/40 WL24
220225	42/40 WL27
220226	42/40 WL29
220301	42/40 WL28
220302	41/40 WL30
220303	41/40 WL31
220304	41/40 WL32
220305	41/40 WL33
220307	41/40 WL32
220309	41/40 WL31
220310	41/40 WL30
220311	41/40 WL31
220316	41/44 WL31
220317	44/44 WL27
220321	44/44 WL26
220323	44/44 WL25
220324	44/44 WL24
220328	43/44 WL26
220330	43/44 WL20
220331	44/44 WL13
220404	44/44 WL10
220406	43/44 WL11
220407	44/44 WL8
220408	43/44 WL6
220410	42/44 WL6
220417	41/42 WL6
220417	32/32 WL2
220625	32/32 WL6
