DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12
220204	0/24	0/23	0/24	0/24	0/24	0/24	0/23	0/24	0/24	0/24	0/24	0/24	0/24	0/24	0/23	0/24	0/24	0/24	0/24	0/23	0/24	0/24	0/24	0/23	0/24
211115	24/24	23/23	23/24	21/24	23/24	24/24	23/23	21/24	19/24	15/24	0/24	0/24	0/24	24/24	24/24	24/24	24/24	23/23	24/24	23/23	24/24	18/24	9/24	0/23	0/24
220102	23/24	23/23	24/24	24/24	24/24	24/24 (WL: 1)	22/23	23/24	24/24	23/24	0/0	0/0	0/0	24/24	21/22	20/24	24/24	22/23	23/24	22/23 (WL: 1)	24/24 (WL: 1)	20/22	21/22	20/21	0/0
