DATE	A00	B00	C00
220204	0/360	0/360	0/360
220212	33/360	2/360	10/360
220213	58/360	3/360	17/360
220214	60/360	3/360	20/360
220215	102/360	7/360	31/360
220216	268/360	17/360	58/360
220216	360/360	43/360	200/360
220217	360/360	45/360	218/360
220218	360/360	49/360	245/360
220219	360/360	49/360	249/360
220221	358/360 WL11	54/360	266/360
220222	360/360 WL9	53/360	271/360
220223	360/360 WL26	55/360	313/360
220224	360/360 WL30	64/360	360/360 WL11
220225	360/360 WL61	138/360	359/360 WL56
220226	360/360 WL62	155/360	360/360 WL55
220227	360/360 WL62	156/360	360/360 WL55
220228	360/360 WL62	155/360	360/360 WL55
220301	360/360 WL62	158/360	360/360 WL55
220302	360/360 WL62	159/360	360/360 WL54
220303	360/360 WL62	163/360	360/360 WL53
220304	360/360 WL61	164/360	360/360 WL52
220305	360/360 WL61	166/360	360/360 WL51
220307	360/360 WL60	168/360	359/360 WL51
220308	360/360 WL60	168/360	360/360 WL50
220311	360/360 WL60	170/360	360/360 WL49
220312	360/360 WL59	170/360	360/360 WL49
220314	359/360 WL59	170/360	360/360 WL48
220316	359/360 WL56	172/360	359/360 WL46
220317	360/360 WL55	172/360	360/360 WL45
220321	360/360 WL55	171/360	360/360 WL45
220323	360/360 WL55	172/360	359/360 WL44
