DATE	A50	A51	A52	B50	B51	B52
220204	0/65	0/65	0/66	0/65	0/65	0/66
220212	3/65	1/65	3/66	2/65	1/65	0/66
220213	7/65	4/65	4/66	6/65	1/65	1/66
220214	10/65	4/65	4/66	5/65	1/65	1/66
220215	43/65	20/65	10/66	8/65	3/65	2/66
220216	65/65	61/65	42/66	11/65	6/65	2/66
220216	65/65	65/65	66/66	20/65	8/65	3/66
220217	65/65	65/65	66/66	21/65	8/65	3/66
220218	65/65	65/65	66/66	23/65	8/65	3/66
220221	65/65 WL2	65/65	66/66 WL1	22/65	8/65	5/66
220222	65/65 WL2	65/65 WL1	66/66 WL1	22/65	8/65	5/66
220223	65/65 WL6	65/65 WL4	66/66 WL5	30/65	8/65	7/66
220224	65/65 WL10	65/65 WL6	66/66 WL6	32/65	7/65	7/66
220225	65/65 WL12	65/65 WL9	66/66 WL8	33/65	8/65	7/66
220226	65/65 WL12	65/65 WL10	66/66 WL8	34/65	8/65	7/66
220227	65/65 WL13	65/65 WL10	66/66 WL8	34/65	8/65	7/66
220301	65/65 WL14	65/65 WL10	66/66 WL9	34/65	8/65	8/66
220303	65/65 WL14	65/65 WL10	66/66 WL10	34/65	8/65	8/66
220308	65/65 WL17	65/65 WL16	66/66 WL17	65/65 WL1	61/65	42/66
220309	65/65 WL18	65/65 WL17	66/66 WL17	65/65 WL1	64/65	42/66
220310	65/65 WL18	65/65 WL15	66/66 WL15	64/65 WL1	65/65	48/66
220311	65/65 WL19	65/65 WL15	66/66 WL15	64/65	65/65	49/66
220312	65/65 WL18	65/65 WL15	66/66 WL15	65/65 WL1	65/65	53/66
220314	65/65 WL18	65/65 WL15	66/66 WL14	65/65 WL1	65/65	58/66
220316	65/65 WL18	65/65 WL14	66/66 WL13	65/65 WL1	65/65	64/66
