DATE	A00	B00
220204	0/28	0/28
220212	1/28	3/28
220213	3/28	5/28
220214	4/28	7/28
220215	5/28	8/28
220216	8/28	10/28
220216	10/28	14/28
220217	11/28	15/28
220218	15/28	22/28
220219	16/28	21/28
220221	18/28	21/28
220221	19/28	22/28
220223	19/28	24/28
220224	20/28	25/28
220225	24/28	28/28
220226	25/28	28/28 WL1
220227	27/28	28/28 WL2
220228	28/28	28/28 WL2
220301	28/28	27/28 WL2
220302	28/28 WL1	27/28 WL1
220303	28/28 WL1	28/28 WL1
220304	27/28	28/28 WL1
220305	28/28	28/28 WL1
220306	28/28 WL1	28/28
220308	28/28	28/28
220309	28/28 WL1	28/28
220311	28/28	28/28
220314	27/28	28/28
220316	28/28 WL1	28/28
220321	28/28 WL1	27/28 WL1
220323	28/28 WL2	27/28 WL1
220324	28/28 WL1	28/28
220328	28/28 WL1	27/28
