DATE	A01	A02	A03	A04	A05	A06
220204	0/32	0/32	0/32	0/32	0/32	0/32
220212	1/32	1/32	0/32	0/32	1/32	0/32
220213	5/32	2/32	0/32	3/32	1/32	2/32
220214	5/32	3/32	2/32	2/32	1/32	2/32
220215	10/32	9/32	4/32	4/32	6/32	4/32
220216	12/32	13/32	4/32	4/32	7/32	5/32
220216	12/32	13/32	4/32	4/32	7/32	6/32
220218	12/32	13/32	4/32	4/32	7/32	7/32
220221	12/32	13/32	4/32	4/32	8/32	7/32
220221	13/32	14/32	5/32	4/32	10/32	7/32
220222	13/32	15/32	5/32	5/32	10/32	7/32
220223	16/32	27/32	10/32	7/32	15/32	13/32
220224	16/32	27/32	10/32	8/32	15/32	13/32
220226	16/32	29/32	10/32	7/32	16/32	12/32
220227	15/32	29/32	10/32	7/32	16/32	12/32
220301	15/32	28/32	10/32	7/32	16/32	13/32
220302	16/32	28/32	10/32	7/32	16/32	13/32
220304	16/32	28/32	10/32	7/32	15/32	13/32
220305	15/32	29/32	10/32	7/32	15/32	13/32
