DATE	A00	B00	C00	D00	E00
220204	0/2	0/2	0/2	0/2	0/2
220330	2/2	0/2	0/2	1/2	2/2
220331	2/2	0/2	1/2	1/2	2/2
220417	2/2	1/2	1/2	1/2	2/2
