DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	B01	B02	B03	B04	B05	B06	C01	C02	C03	C04	C05	C06	D01	D02	D03	D04	D05	D06	E01	E02	E03	E04	E05	E06
220204	0/31	0/31	0/31	0/31	0/31	0/31	0/31	0/31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	N/A	N/A	N/A	N/A	N/A	N/A
220212	0/31	0/31	0/31	1/31	0/31	0/31	0/31	0/31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	1/33	0/33	0/33	0/33	0/33	N/A	N/A	N/A	N/A	N/A	N/A
220213	3/31	0/31	1/31	1/31	1/31	0/31	0/31	0/31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5/33	0/33	2/33	1/33	3/33	0/33	1/33	0/33	0/33	0/33	0/33	0/33	7/33	1/33	4/33	1/33	0/33	0/33	N/A	N/A	N/A	N/A	N/A	N/A
220214	3/31	0/31	1/31	2/31	1/31	0/31	0/31	0/31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6/33	0/33	2/33	1/33	3/33	0/33	1/33	0/33	0/33	0/33	0/33	0/33	7/33	1/33	4/33	1/33	0/33	0/33	N/A	N/A	N/A	N/A	N/A	N/A
220215	2/31	0/31	1/31	2/31	1/31	0/31	0/31	0/31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5/33	0/33	2/33	1/33	4/33	0/33	1/27	0/33	0/33	0/33	0/33	0/33	10/33	1/33	4/33	1/33	0/33	1/33	N/A	N/A	N/A	N/A	N/A	N/A
220216	2/31	0/31	1/31	3/31	1/31	0/31	0/31	0/31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6/33	0/33	2/33	1/33	4/33	0/33	1/27	0/33	0/33	0/33	0/33	0/33	12/33	1/33	5/33	1/33	1/33	1/33	N/A	N/A	N/A	N/A	N/A	N/A
220216	2/31	0/31	1/31	3/31	3/31	0/31	1/31	0/31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	17/33	2/33	6/33	1/33	5/33	0/33	2/27	0/33	1/33	0/33	0/33	0/33	26/33	3/33	10/33	3/33	2/33	2/33	N/A	N/A	N/A	N/A	N/A	N/A
220217	2/31	0/31	1/31	3/31	4/31	1/31	2/31	1/31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	28/33	1/33	10/33	1/33	6/33	0/33	6/27	0/33	2/33	0/33	0/33	0/33	33/33	10/33	10/33	2/33	3/33	2/33	N/A	N/A	N/A	N/A	N/A	N/A
220218	6/31	0/31	5/31	12/31	9/31	5/31	6/31	5/31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	33/33	33/33	33/33	33/33	33/33	33/33	27/27	32/33	3/33	0/33	1/33	2/33	33/33	33/33	33/33	33/33	33/33	33/33	N/A	N/A	N/A	N/A	N/A	N/A
220219	6/31	0/31	5/31	13/31	9/31	6/31	6/31	5/31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	33/33	33/33	33/33	33/33	33/33	33/33	27/27	32/33	4/33	0/33	1/33	2/33	33/33	33/33	33/33	33/33	33/33	33/33	N/A	N/A	N/A	N/A	N/A	N/A
