DATE	A01	A02	A03	A04	A05
220204	0/60	0/60	0/60	0/60	0/60
220212	0/60	1/60	0/60	0/60	1/60
220213	4/60	1/60	0/60	0/60	1/60
220214	4/60	1/60	2/60	0/60	1/60
220215	6/60	2/60	1/60	0/60	2/60
220216	6/60	3/60	3/60	0/60	2/60
220216	7/60	3/60	5/60	2/60	3/60
220217	8/60	5/60	5/60	4/60	3/60
220218	14/60	12/60	10/60	10/60	9/60
220219	15/60	12/60	10/60	9/60	9/60
220220	16/60	12/60	10/60	9/60	9/60
220221	22/60	15/60	12/60	10/60	9/60
220222	23/60	15/60	13/60	9/60	9/60
220223	29/60	21/60	18/60	12/60	9/60
220224	30/60	23/60	23/60	11/60	10/60
220225	41/60	33/60	33/60	27/60	17/60
220226	50/60	43/60	42/60	37/60	25/60
220227	54/60	43/60	45/60	39/60	26/60
220228	54/60	43/60	47/60	39/60	27/60
220301	56/60	47/60	48/60	40/60	28/60
220302	57/60	46/60	50/60	42/60	28/60
220303	59/60	46/60	51/60	42/60	29/60
220304	59/60	48/60	51/60	42/60	29/60
220305	59/60	48/60	51/60	44/60	30/60
220306	60/60	48/60	51/60	44/60	30/60
220307	60/60	48/60	51/60	45/60	29/60
220308	60/60	50/60	51/60	44/60	29/60
220309	60/60	50/60	50/60	45/60	29/60
220310	60/60	52/60	49/60	45/60	30/60
220311	60/60	52/60	50/60	48/60	32/60
