DATE	A00	C00
220204	0/20	N/A
220212	1/20	N/A
220216	1/0	N/A
220218	2/20	N/A
220219	3/20	N/A
220223	5/20	N/A
220226	6/20	N/A
220301	7/20	N/A
220308	8/20	N/A
220316	7/20	N/A
220328	8/20	N/A
220330	7/20	N/A
220823	N/A	4/15
