DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060	061	062	063	064	065	066	067	068	069	070	071	072
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A
220212	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A
220213	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A
220214	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A
220215	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A
220216	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A
220216	0	0	1	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	N/A	N/A
220218	0	0	1	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	2	1	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	N/A	N/A
220220	0	0	1	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	2	1	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	N/A	N/A
220222	0	0	1	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	2	1	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	N/A	N/A
220223	0	0	1	1	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	2	1	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	N/A
220224	0	0	1	1	1	4	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	2	0	2	0	0	2	1	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	N/A
220225	0	0	1	1	1	4	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	2	0	2	0	0	2	1	0	0	0	1	0	1	0	1	0	0	1	0	1	2	0	0	0	0	1	0	1	0	0	1	1	N/A
220227	0	0	1	1	1	4	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	2	0	2	0	0	2	1	0	0	0	1	0	1	0	1	0	0	1	0	1	2	1	0	0	0	1	0	1	0	0	1	1	N/A
220228	0	0	1	1	1	4	1	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	2	0	2	0	0	2	1	1	0	0	1	0	1	0	1	0	0	1	0	1	2	1	0	0	0	1	0	2	0	0	1	1	N/A
220301	0	0	1	1	1	6	1	0	3	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	2	0	2	0	0	2	1	1	0	0	2	0	1	0	1	0	0	1	0	1	2	1	0	1	0	1	0	2	0	0	1	1	N/A
220302	0	0	2	1	1	7	1	0	3	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	2	0	2	0	0	2	1	2	0	0	2	0	1	0	1	0	0	1	0	1	2	1	0	1	0	1	0	2	0	0	1	1	1
220303	0	0	2	1	1	7	1	0	3	0	0	0	0	0	0	1	0	1	0	1	2	0	0	1	1	0	0	0	1	0	0	2	0	1	0	1	2	0	0	3	0	3	0	0	2	1	2	0	0	2	0	1	0	1	0	0	1	0	1	2	1	0	1	0	1	0	2	0	0	1	1	1
220304	0	0	2	1	3	7	1	0	3	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	1	0	0	0	1	0	0	2	0	1	0	1	2	0	0	3	0	3	0	0	2	1	2	0	0	2	0	1	0	1	0	0	1	0	1	2	1	0	2	0	1	0	2	0	0	1	1	1
