DATE	A00
220204	0/300
220212	4/300
220213	11/300
220214	12/300
220215	24/300
220216	39/300
220216	80/300
220217	85/300
220218	94/300
220221	113/300
220222	117/300
220223	177/300
220224	239/300
220225	299/300 WL29
220226	300/300 WL27
220227	300/300 WL29
220228	300/300 WL30
220301	300/300 WL34
220302	300/300 WL32
220303	300/300 WL35
220305	300/300 WL34
220306	300/300 WL35
220307	300/300 WL36
220308	299/300 WL37
220309	300/300 WL36
220311	300/300 WL35
220312	300/300 WL33
220314	300/300 WL34
220316	300/300 WL35
220317	300/300 WL38
220321	299/300 WL38
220323	300/300 WL38
220324	299/300 WL39
220328	300/300 WL35
220328	299/300 WL38
220330	293/300 WL35
220331	297/300 WL23
220404	300/300 WL12
220405	300/300 WL10
220406	298/300 WL9
220407	299/300 WL4
220408	300/300
220410	299/300
220412	296/300
