DATE	A00	B00
220204	0/70	N/A
220213	5/70	N/A
220216	6/70	N/A
220216	7/70	N/A
220218	8/70	N/A
220221	11/70	N/A
220222	12/70	N/A
220223	21/70	N/A
220224	34/70	N/A
220225	51/70	N/A
220226	70/70 WL3	N/A
220227	70/70 WL5	N/A
220228	70/70 WL6	N/A
220301	69/70 WL6	N/A
220302	70/70 WL5	N/A
220305	69/70 WL5	N/A
220306	70/70 WL4	N/A
220307	70/70 WL3	N/A
220312	70/70 WL4	N/A
220316	70/70 WL5	N/A
220317	69/70 WL5	N/A
220321	70/70 WL3	N/A
220324	69/70 WL4	N/A
220328	69/70 WL5	N/A
220328	68/70 WL5	N/A
220330	68/70 WL10	N/A
220331	70/70 WL7	N/A
220404	70/70 WL5	N/A
220405	70/70 WL4	N/A
220407	70/70 WL5	N/A
220408	69/70 WL4	N/A
220410	69/70 WL3	N/A
220412	68/70 WL3	N/A
220823	N/A	44/140
