DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12
220204	0/24	0/24	0/24	0/24	0/24	0/24	0/24	0/24	0/24	0/24	0/24	0/24
220212	0/24	0/24	1/24	0/24	0/24	1/24	0/24	0/24	0/24	0/24	0/24	0/24
220213	3/24	3/24	7/24	2/24	1/24	3/24	0/24	1/24	3/24	7/24	2/24	0/24
220214	3/24	3/24	8/24	2/24	3/24	3/24	0/24	1/24	3/24	7/24	2/24	0/24
220215	3/24	7/24	9/24	5/24	10/24	2/24	2/24	1/24	6/24	8/24	3/24	0/24
220216	5/24	12/24	14/24	10/24	17/24	8/24	4/24	2/24	10/24	12/24	5/24	0/24
220216	12/24	22/24	24/24	18/24	24/24	18/24	7/24	5/24	18/24	20/24	7/24	1/24
220217	13/24	24/24	24/24	18/24	24/24	21/24	6/24	7/24	22/24	22/24	8/24	2/24
220218	19/24	24/24	24/24	22/24	24/24	24/24	9/24	24/24	24/24	24/24	20/24	18/24
220219	19/24	24/24	24/24	23/24	24/24	24/24	11/24	24/24	24/24	24/24	20/24	18/24
220221	19/24	24/24 WL1	23/24	24/24	24/24 WL1	24/24	11/24	24/24 WL1	24/24	23/24 WL1	21/24	18/24
220222	19/24	24/24 WL1	24/24	24/24	24/24 WL1	24/24	11/24	24/24 WL1	24/24	23/24	21/24	19/24
