DATE	A00	A50	B00
220204	0/50	N/A	0/50
220212	4/50	N/A	0/50
220213	12/50	N/A	2/50
220214	15/50	N/A	2/50
220215	27/50	N/A	5/50
220216	50/50	N/A	31/50
220216	50/50	N/A	50/50
220217	50/50	N/A	51/50
220221	51/50 WL2	N/A	51/50
220222	50/50 WL2	N/A	51/50
220223	54/54 WL2	N/A	59/60
220224	60/54 WL6	N/A	59/60 WL4
220225	62/60 WL12	N/A	60/60 WL8
220226	63/60 WL12	N/A	60/60 WL8
220228	66/60 WL7	N/A	68/60
220301	67/60 WL6	N/A	69/60
220302	69/60 WL5	N/A	70/60 WL1
220303	69/60 WL6	N/A	70/60 WL1
220304	70/60 WL5	N/A	70/60 WL3
220305	70/60 WL5	N/A	70/60 WL2
220306	70/60 WL4	N/A	70/60 WL2
220307	70/60 WL4	N/A	70/60 WL3
220310	71/60 WL5	N/A	71/60 WL2
220314	71/60 WL5	N/A	72/60 WL2
220316	72/60 WL4	N/A	72/60 WL2
220324	72/60 WL4	N/A	71/60 WL3
220328	72/60 WL3	N/A	73/73 WL1
220328	72/60 WL4	N/A	73/60 WL2
220330	71/0 WL5	N/A	72/0
220331	71/0 WL3	N/A	72/0 WL1
220404	71/0 WL3	N/A	72/0
220417	70/0 WL3	N/A	71/0
220823	N/A	68/0	N/A
