DATE	001	002	003	004	005	006	008	009	010	011	012	013	015	016	017	018	019	022	023	024	025	026	027	028	029	030	031
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
220214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
220215	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1
220216	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1
220218	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	1
220219	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	1
220223	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	2	0	0	1	1
220224	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	2	0	0	1	2
220225	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	1	1	0	1	0	0	2	0	0	1	2
220302	0	0	0	2	0	0	1	0	0	0	2	1	0	0	0	0	2	1	0	1	0	0	2	0	0	1	2
220303	0	0	0	2	0	0	1	0	0	0	2	1	0	0	0	0	2	1	0	1	1	0	2	0	0	1	2
220304	0	0	0	3	0	0	1	0	0	0	2	1	0	0	0	0	2	1	0	1	1	0	2	0	0	1	2
220307	0	0	0	3	0	0	1	0	0	0	2	1	0	0	0	0	2	1	0	1	2	0	2	0	0	1	2
220309	0	0	0	3	0	0	1	0	0	0	2	2	0	0	0	0	2	1	0	1	2	0	2	0	0	1	2
220310	0	0	0	3	0	0	1	0	1	0	2	2	0	0	0	0	2	1	0	1	2	0	2	0	0	1	2
220311	0	0	0	3	0	0	1	0	2	0	2	2	0	0	0	0	2	1	0	1	2	0	2	0	0	1	2
220312	0	0	0	4	0	0	1	0	2	0	2	2	0	0	0	0	2	1	0	1	2	0	2	0	0	1	2
220314	0	1	0	5	0	0	1	1	2	0	2	2	0	0	0	0	2	1	0	1	2	0	3	0	0	1	2
220316	0	1	0	7	0	0	1	1	2	1	4	3	1	0	0	0	2	1	0	1	2	0	3	0	0	1	2
220321	0	1	0	7	0	0	1	2	2	1	4	3	1	0	0	0	2	1	0	1	2	0	3	0	0	2	2
220323	0	1	0	7	0	0	1	2	2	1	4	2	1	0	0	0	2	1	0	1	3	0	3	0	0	2	2
220328	0	1	0	7	0	0	1	2	2	1	4	2	1	0	0	1	2	1	0	1	3	0	3	0	0	2	2
