DATE	A00
220204	0/75
220213	2/75
220215	7/75
220216	10/75
220216	15/75
220218	17/75
220221	21/75
220223	27/75
220224	36/75
220225	43/75
220226	44/75
220301	46/75
220302	47/75
220303	46/75
220305	47/75
