DATE	A00	B00
220204	0/10	N/A
220212	0/0	N/A
220224	0/0 WL1	N/A
220225	0/0 WL2	N/A
220227	0/0 WL3	N/A
220317	0/0 WL5	N/A
220321	1/0 WL5	N/A
220328	2/0 WL5	N/A
220404	2/0 WL6	N/A
220406	2/0 WL7	N/A
220408	9/10	N/A
220823	N/A	0/10
