DATE	A00
220204	0/100
220212	4/100
220213	17/100
220214	19/100
220215	31/100
220216	43/100
220216	55/100
220217	57/100
220218	60/100
220219	58/100
220221	59/100
220221	76/100
220222	79/100
220223	100/100 WL4
220224	100/100 WL22
220225	100/100 WL26
220226	128/140
220227	129/140
220228	130/140
220301	132/140
220302	134/140
220303	135/140
220305	136/140
220309	138/140
220310	139/140
220311	140/140
220314	140/140 WL1
220316	138/140 WL1
220317	140/140
220321	140/140 WL1
220323	140/140 WL2
220324	140/143 WL5
220328	143/143 WL1
220328	143/143 WL4
220330	139/143 WL10
220331	142/143 WL3
220404	143/143
