DATE	A00
220204	0/215
220212	0/230
220213	9/230
220214	11/230
220215	25/230
220216	42/230
220216	51/230
220217	53/230
220218	56/230
220219	58/230
220221	59/230
220221	68/230
220222	71/230
220223	108/230
220224	122/230
220225	169/230
220226	173/230
220227	175/230
220228	176/230
220302	181/230
220303	183/230
220304	188/230
220305	190/230
220306	191/230
220307	193/230
220308	192/230
220310	191/230
220311	192/230
220314	193/230
220316	196/230
220317	197/230
220321	198/230
220323	200/230
220324	202/230
220328	202/202
220328	202/202 WL3
220330	192/202 WL5
220331	195/202 WL3
220404	200/202
220405	198/202
220406	200/202
220407	199/202
220408	202/202
220410	199/202
220412	196/200
