DATE	A01	A02
220204	0/180	N/A
220212	3/180	N/A
220213	9/180	N/A
220214	10/180	N/A
220215	17/180	N/A
220216	51/180	N/A
220216	83/180	N/A
220217	93/180	N/A
220218	113/180	N/A
220219	114/180	N/A
220221	117/180	N/A
220223	128/180	N/A
220224	139/180	N/A
220225	174/180	N/A
220226	178/180	N/A
220227	180/180 WL2	N/A
220228	180/180 WL3	N/A
220301	180/180 WL4	N/A
220303	180/180 WL2	N/A
220311	180/180 WL3	N/A
220312	181/200 WL1	N/A
220314	183/200 WL1	N/A
220316	181/200 WL1	N/A
220317	180/200 WL2	N/A
220321	178/200 WL1	N/A
220323	172/200 WL2	N/A
220324	164/200	N/A
220328	158/200	N/A
220328	162/200	N/A
220330	161/200	N/A
220331	162/200	N/A
220404	157/200	N/A
220405	151/200	N/A
220412	150/200	N/A
220417	148/200	N/A
220417	40/40 WL13	N/A
220417	10/40	N/A
220625	7/40	N/A
220823	25/57	58/58 WL2
