DATE	A01	A02	A03	A04	A05
220204	0/60	0/60	0/60	0/60	0/60
220212	1/60	0/60	0/60	0/60	1/60
220213	6/60	1/60	0/60	5/60	2/60
220214	9/60	2/60	1/60	4/60	2/60
220215	12/60	5/60	3/60	10/60	7/60
220216	14/60	8/60	3/60	11/60	8/60
220216	15/60	9/60	3/60	12/60	12/60
220217	15/60	9/60	3/60	12/60	14/60
220221	16/60	9/60	3/60	12/60	14/60
220221	19/60	11/60	3/60	15/60	16/60
220222	21/60	11/60	3/60	16/60	18/60
220223	31/60	17/60	4/60	23/60	27/60
220224	32/60	20/60	5/60	25/60	33/60
220225	35/60	21/60	7/60	24/60	35/60
220226	34/60	21/60	7/60	26/60	37/60
