DATE	001	002	003	004	005	006	007	008
220204	0/10	N/A	N/A	N/A	N/A	N/A	N/A	N/A
211115	0/10	0/10	0/10	0/10	0/10	0/10	N/A	N/A
220102	1/10	2/10	1/10	7/10	1/10	0/10	2/5	1/1
220104	1/10	2/10	1/10	8/10	1/10	0/10	2/5	1/1
