DATE	A00
220204	0/80
220212	2/80
220213	9/80
220215	34/80
220216	80/80
220221	80/80 WL5
220222	80/80 WL7
220223	80/80 WL23
220224	80/80 WL36
220225	80/80 WL68
220226	80/80 WL71
220227	80/80 WL70
220228	80/80 WL71
220301	80/80 WL67
220303	80/80 WL66
220305	80/80 WL65
220307	80/80 WL64
220308	110/110 WL34
220309	109/110 WL34
220310	110/110 WL30
220311	110/110 WL29
220312	110/110 WL30
220314	110/110 WL32
220316	110/110 WL29
220317	110/110 WL30
220323	110/110 WL28
220324	110/110 WL29
220328	110/110 WL23
220328	110/110 WL29
220330	107/110 WL33
220331	110/110 WL31
220404	110/110 WL27
220405	110/116 WL26
