DATE	A00	B00	C00	D00	E00	F00	G00
220417	18/18 WL19	18/18 WL18	18/18 WL16	18/18 WL18	18/18 WL17	N/A	N/A
220625	18/20 WL8	18/20 WL6	16/20 WL6	19/20 WL7	18/20 WL4	17/20 WL3	16/20 WL3
