DATE	A00
220204	0/175
220212	1/169
220213	5/169
220215	28/169
220216	30/169
220216	31/169
220217	32/169
220218	33/169
220221	34/169
220221	38/169
220222	43/169
220223	88/169
220224	106/169
220225	118/169
220226	122/169
220227	123/169
220228	125/169
220301	131/169
220302	133/169
220303	134/169
220304	135/169
220305	134/169
220306	135/169
220307	136/169
220308	137/169
220309	138/169
220310	139/175
220312	137/175
220314	138/175
220316	135/175
220321	136/175
220323	135/175
220324	131/175
220328	141/175
220328	146/175
220330	149/175
220331	150/175
220404	139/175
220405	143/175
220406	141/175
220407	139/175
220410	140/175
220412	139/175
