DATE	A01	A02	A03	A04	A05	A06	A07	A08
211115	2/24	16/24	6/24	24/24	6/24	16/24	2/24	19/24
220102	6/24	17/24	12/24	24/24	4/24	20/24	1/24	24/24
220104	6/24	21/24	12/24	23/24	5/24	20/24	2/24	23/24
