DATE	A01	A02	A03
211115	26/35	1/35	7/35
220102	35/35	35/35	22/35
220104	35/35	35/35	35/35
220109	34/35	35/35	35/35
220117	36/36	36/36	36/35
220121	36/36	36/36 (WL: 1)	35/35
