DATE	A01
220204	0/98
220213	10/98
220214	12/98
220216	26/98
220216	47/98
220217	54/98
220218	98/98
220222	98/98 WL3
220223	98/98 WL8
220224	98/98 WL9
220225	98/98 WL23
220226	98/98 WL46
220227	98/98 WL48
220228	98/98 WL49
220301	98/196 WL51
220302	151/196
220304	150/196
220305	151/196
220306	153/196
220307	152/196
220308	151/196
220309	144/196
220310	145/196
220312	144/196
220316	143/196
220321	144/196
220323	152/196
220324	154/196
220328	153/196
220328	157/196
220330	166/196
220331	169/196
220404	174/196
