DATE	A01	A02	A03	A04
220204	0/34	0/34	N/A	N/A
220212	1/34	0/34	N/A	N/A
220213	2/34	2/34	N/A	N/A
220215	8/34	2/34	N/A	N/A
220216	11/34	4/34	N/A	N/A
220216	13/34	6/34	N/A	N/A
220217	14/34	6/34	N/A	N/A
220218	17/34	12/34	N/A	N/A
220221	19/34	12/34	N/A	N/A
220223	22/34	12/34	N/A	N/A
220225	25/34	13/34	N/A	N/A
220226	29/34	13/34	N/A	N/A
220301	29/34	14/34	N/A	N/A
220302	28/34	14/34	N/A	N/A
220304	28/34	15/34	N/A	N/A
220307	27/34	15/34	N/A	N/A
220308	28/34	14/34	N/A	N/A
220309	27/34	14/34	N/A	N/A
220317	27/34	15/34	N/A	N/A
220321	30/34	15/34	N/A	N/A
220324	29/34	16/34	N/A	N/A
220328	31/34	16/34	N/A	N/A
220328	33/34	16/34	N/A	N/A
220330	32/34	17/34	N/A	N/A
220404	31/34	20/34	N/A	N/A
220405	33/34	19/34	N/A	N/A
220407	34/34	18/34	N/A	N/A
220408	33/34	19/34	N/A	N/A
220410	33/34	20/34	N/A	N/A
220417	32/34	19/34	N/A	N/A
220823	18/25	7/25	11/25	3/25
