DATE	A00
220204	0/48
220213	2/48
220214	3/48
220215	4/48
220216	8/48
220216	10/48
220218	20/48
220221	25/48
220223	32/48
220224	33/48
220225	48/48 WL2
220226	48/48 WL11
220228	48/48 WL12
