DATE	A00	B00
220204	0/50	N/A
220212	4/50	N/A
220213	26/50	N/A
220214	30/50	N/A
220215	50/50	N/A
220216	51/50	N/A
220221	51/50 WL1	N/A
220221	50/50 WL5	N/A
220222	50/50 WL8	N/A
220223	50/50 WL16	N/A
220224	50/50 WL21	N/A
220225	50/50 WL24	N/A
220226	50/50 WL25	N/A
220227	50/50 WL24	N/A
220228	50/50 WL25	N/A
220301	50/50 WL26	N/A
220302	50/50 WL24	N/A
220303	50/50 WL25	N/A
220308	49/50 WL25	N/A
220309	49/50 WL23	N/A
220310	50/50 WL22	N/A
220316	50/50 WL21	N/A
220317	50/50 WL22	N/A
220321	50/50 WL21	N/A
220324	50/50 WL19	N/A
220328	50/50 WL18	N/A
220328	50/50 WL19	N/A
220330	50/50 WL17	N/A
220331	50/50 WL16	N/A
220404	48/50 WL14	N/A
220405	50/50 WL9	N/A
220406	50/50 WL8	N/A
220410	50/50 WL7	N/A
220417	48/50 WL7	N/A
220417	6/40	21/30
220417	2/40	11/40
220823	40/40 WL17	N/A
