DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	D13	D14	D15	D16	D17	D18	D19	D20
220204	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15
220212	0/15	0/15	0/15	1/15	0/15	0/15	0/15	0/15	0/15	0/15	1/15	0/15	0/15	0/15	1/15	1/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	1/15	1/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15
220213	0/15	0/15	0/15	1/15	1/15	1/15	0/15	1/15	0/15	0/15	2/15	0/15	0/15	0/15	1/15	2/15	0/15	1/15	0/15	0/15	1/15	1/15	0/15	0/15	0/15	1/15	0/15	0/15	2/15	1/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	1/15	1/15	0/15	0/15	0/15	0/15	0/15	2/15	0/15	0/15	1/15	0/15	0/15	1/15	0/15	1/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	1/15	1/15	0/15	0/15	6/15	1/15	1/15	0/15	0/15	0/15	1/15	1/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15
220214	0/15	0/15	0/15	1/15	1/15	1/15	0/15	1/15	0/15	0/15	2/15	0/15	0/15	0/15	1/15	2/15	0/15	2/15	0/15	0/15	1/15	1/15	0/15	0/15	0/15	1/15	0/15	0/15	2/15	1/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	1/15	2/15	0/15	0/15	0/15	0/15	0/15	2/15	0/15	0/15	1/15	0/15	0/15	1/15	0/15	1/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	1/15	1/15	0/15	0/15	6/15	1/15	1/15	0/15	0/15	0/15	1/15	1/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15
220215	0/15	0/15	0/15	1/15	2/15	2/15	0/15	1/15	0/15	0/15	3/15	0/15	0/15	0/15	1/15	2/15	0/15	2/15	0/15	0/15	1/15	1/15	0/15	0/15	1/15	1/15	0/15	0/15	3/15	1/15	0/15	0/15	0/15	0/15	0/15	1/15	0/15	0/15	2/15	2/15	0/15	0/15	0/15	0/15	0/15	2/15	0/15	0/15	1/15	0/15	0/15	2/15	0/15	1/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	2/15	2/15	0/15	0/15	6/15	1/15	2/15	0/15	0/15	0/15	1/15	1/15	1/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15
220216	0/15	0/15	0/15	1/15	3/15	2/15	1/15	1/15	0/15	1/15	3/15	0/15	0/15	1/15	1/15	5/15	0/15	2/15	0/15	0/15	1/15	1/15	0/15	0/15	3/15	1/15	0/15	0/15	4/15	1/15	0/15	0/15	0/15	1/15	0/15	1/15	0/15	0/15	2/15	2/15	0/15	0/15	0/15	0/15	0/15	4/15	0/15	0/15	1/15	0/15	0/15	2/15	0/15	1/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	2/15	2/15	0/15	0/15	8/15	4/15	4/15	0/15	0/15	0/15	1/15	2/15	3/15	0/15	1/15	0/15	0/15	0/15	1/15	0/15
220216	0/15	1/15	0/15	3/15	9/15	3/15	3/15	2/15	0/15	0/15	3/15	0/15	2/15	1/15	1/15	6/15	1/15	2/15	0/15	0/15	3/15	1/15	3/15	1/15	3/15	5/15	0/15	0/15	11/15	1/15	0/15	0/15	1/15	2/15	0/15	1/15	0/15	3/15	2/15	8/15	2/15	0/15	0/15	1/15	0/15	9/15	0/15	0/15	1/15	0/15	0/15	2/15	2/15	2/15	0/15	0/15	1/15	0/15	0/15	0/15	0/15	0/15	3/15	5/15	0/15	0/15	14/15	7/15	10/15	0/15	0/15	1/15	2/15	2/15	3/15	3/15	2/15	5/15	3/15	0/15	5/15	1/15
220217	0/15	1/15	1/15	3/15	11/15	5/15	3/15	3/15	0/15	0/15	3/15	1/15	2/15	1/15	1/15	7/15	2/15	4/15	0/15	0/15	3/15	1/15	5/15	3/15	4/15	15/15	0/15	0/15	15/15	7/15	0/15	0/15	2/15	2/15	0/15	1/15	0/15	5/15	4/15	10/15	4/15	1/15	0/15	0/15	1/15	9/15	0/15	0/15	1/15	0/15	0/15	2/15	2/15	4/15	0/15	1/15	1/15	2/15	0/15	0/15	0/15	0/15	4/15	8/15	0/15	0/15	15/15	11/15	14/15	1/15	1/15	1/15	8/15	2/15	6/15	8/15	4/15	7/15	3/15	0/15	5/15	2/15
220218	3/15	9/15	2/15	8/15	15/15	15/15	15/15	7/15	3/15	2/15	6/15	2/15	4/15	3/15	6/15	15/15	8/15	15/15	0/15	0/15	12/15	1/15	15/15	15/15	15/15	15/15	0/15	0/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	2/15	1/15	15/15	15/15	0/15	0/15	15/15	3/15	2/15	3/15	9/15	5/15	2/15	11/15	6/15	8/15	1/15	6/15	2/15	5/15	15/15	15/15	0/15	0/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15
220219	3/15	9/15	2/15	8/15	15/15	15/15	14/15	8/15	3/15	2/15	7/15	3/15	4/15	3/15	9/15	15/15	10/15	15/15	0/15	0/15	12/15	1/15	15/15	15/15	15/15	15/15	0/15	0/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	2/15	2/15	15/15	15/15	0/15	0/15	15/15	4/15	2/15	4/15	9/15	5/15	2/15	14/15	6/15	8/15	1/15	6/15	3/15	6/15	15/15	15/15	0/15	0/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15
