DATE	A01	A02	A03	A04	A05	A06	B01	B02	B03	B04	B05	B06	C01	C02	C03	C04	C05	C06	D01	D02	D03	D04	D05	D06	E01	E02	E03	E04	E05	E06	F01	F02	F03	F04	F05
220204	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	N/A	N/A	N/A	N/A	N/A
211115	32/32	32/32	32/32	32/32	32/32	N/A	17/32	32/32	26/32	32/32	32/32	N/A	32/32	32/32	32/32	27/32	23/32	N/A	7/32	2/32	6/32	4/32	1/32	N/A	7/32	2/32	9/32	1/32	2/32	N/A	3/32	8/32	3/32	6/32	6/32
220102	32/32 (WL: 5)	32/32 (WL: 6)	32/32 (WL: 6)	32/32 (WL: 7)	32/32 (WL: 6)	N/A	32/32 (WL: 5)	32/32 (WL: 4)	32/32 (WL: 9)	32/32 (WL: 6)	32/32 (WL: 6)	N/A	32/32 (WL: 7)	32/32 (WL: 6)	32/32 (WL: 5)	32/32 (WL: 6)	32/32 (WL: 4)	N/A	16/32	12/32	19/32	8/32	5/32	N/A	32/32 (WL: 2)	32/32	23/32	6/32	13/31	N/A	6/32	25/32	12/32	13/32	11/32
