DATE	A01	A02	A03	A04	A05	A06	A07	A08
220204	0/28	0/28	0/28	0/28	0/28	0/28	0/28	0/28
220213	4/28	3/28	0/28	0/28	2/28	0/28	0/28	0/28
220215	10/28	6/28	0/28	0/28	4/28	0/28	0/28	0/28
220216	14/28	6/28	0/28	1/28	5/28	1/28	0/28	0/28
220216	19/28	6/28	1/28	1/28	6/28	3/28	0/28	1/28
220217	21/28	6/28	1/28	1/28	6/28	3/28	0/28	1/28
220218	28/28	21/28	4/28	2/28	21/28	6/28	3/28	1/28
220219	28/28	22/28	4/28	2/28	22/28	6/28	3/28	1/28
220221	28/28 WL1	23/28	4/28	2/28	24/28	6/28	3/28	2/28
220222	28/28 WL1	23/28	4/28	2/28	23/28	6/28	3/28	2/28
220223	28/28	25/28	5/28	2/28	24/28	7/28	3/28	3/28
220224	28/28	25/28	4/28	2/28	25/28	8/28	3/28	3/28
220225	28/28 WL1	28/28	8/28	3/28	28/28	10/28	3/28	4/28
220226	28/28	28/28	16/28	3/28	28/28	25/28	7/28	6/28
220227	28/28 WL1	28/28	16/28	3/28	28/28	25/28	7/28	7/28
220228	28/28 WL1	28/28	17/28	3/28	28/28	26/28	8/28	7/28
220301	28/28 WL1	28/28	18/28	3/28	28/28	28/28	10/28	6/28
220302	28/28 WL1	28/28	19/28	3/28	28/28 WL1	28/28	10/28	6/28
220303	28/28 WL1	28/28	19/28	3/28	28/28 WL1	28/28	11/28	6/28
220304	28/28 WL2	28/28	17/28	3/28	28/28 WL1	28/28	12/28	6/28
220307	28/28 WL1	28/28	17/28	3/28	28/28 WL1	28/28	12/28	6/28
220308	28/28 WL1	28/28	18/28	3/28	28/28 WL1	28/28	11/28	6/28
220310	28/28 WL1	28/28	18/28	4/28	28/28 WL1	28/28	11/28	6/28
220314	28/28 WL1	28/28	19/28	4/28	28/28 WL1	28/28	11/28	6/28
220316	28/28 WL1	28/28 WL1	19/28	N/A	28/28 WL1	28/28	13/28	6/28
220317	28/28 WL1	28/28 WL1	20/28	N/A	28/28 WL1	28/28	15/28	6/28
220321	28/28 WL2	28/28	19/28	N/A	28/28 WL1	28/28	18/28	6/28
220323	28/28 WL2	28/28	20/28	N/A	28/28 WL1	28/28	18/28	8/28
220328	28/28 WL2	28/28	21/28	N/A	28/28 WL1	28/28	18/28	8/28
220330	27/28 WL1	28/28 WL1	27/28	N/A	28/28 WL1	28/28	23/28	7/28
220331	27/28	28/28	27/28	N/A	28/28 WL1	28/28	25/28	7/28
