DATE	A01	A02	A03	A04	A05	A06	A07
211115	4/11	3/11	7/11	4/11	2/11	1/11	1/11
220102	11/11	8/11	10/11	11/11	11/11	4/11	7/11
220104	10/11	10/11	11/11	11/11	11/11	5/11	8/11
220109	10/11	8/11	10/11	11/11	11/11	5/11	8/11
220117	10/11	10/11	10/11	11/11	11/11	6/11	11/11
220121	9/11	9/11	10/11	11/11	11/11	5/11	9/11
