DATE	A01	A02	A03	A04	A05	A06
211115	24/24	24/24	24/24	20/24	3/25	3/25
220102	26/24	24/24	25/24	25/24	25/25	25/25
220104	26/24	24/24	25/24	24/24	25/25	25/25
220109	28/24 (WL: 5)	25/24 (WL: 3)	25/24 (WL: 4)	24/24 (WL: 5)	27/25 (WL: 3)	27/25 (WL: 3)
