DATE	A00
220204	0/70
220212	0/0
220214	5/0
220215	10/0
220218	50/0
220219	54/0
220220	56/0
220221	57/0 WL31
220221	60/0 WL45
220222	60/0 WL47
220223	60/0 WL52
220224	63/0 WL54
220225	65/0 WL56
220226	65/0 WL58
220227	65/0 WL60
220228	65/0 WL61
220301	65/0 WL62
220303	65/0 WL63
220304	65/0 WL66
220305	70/0 WL63
220309	70/0 WL65
220311	69/0 WL66
220312	69/0 WL67
220314	68/0 WL66
220317	68/0 WL67
220321	69/0 WL70
220323	69/0 WL69
220324	69/0 WL70
220328	69/0 WL74
220328	69/0 WL73
220330	70/0 WL67
220331	70/0 WL71
220404	70/0 WL58
220405	68/0 WL53
220406	64/0 WL48
220407	65/0 WL41
220408	82/0 WL12
220410	82/0 WL6
220412	83/0 WL6
