DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16
211115	7/20	14/20	10/20	2/20	18/20	20/20	6/20	6/20	7/20	7/20	3/20	4/20	13/20	6/20	3/20	4/20
220102	24/24	24/24	24/24	23/23	24/24	24/24	24/23	23/24	24/24	24/24	24/24	24/24	24/24	24/24	24/24	24/24
220104	24/24	24/24	24/24	22/23	24/24	24/24	24/24	24/24	24/24	24/24	24/24	24/24	24/24	24/24	23/24	24/24
220109	24/24	24/24	24/24	24/24	24/24	24/24	24/24	23/23	24/24	24/24	24/24	24/24	23/23	24/24	24/24	24/24
220117	27/27	26/26	24/24	24/24	24/24	24/24	24/24	24/24	23/24	24/24	25/25	24/24	24/24	26/25	24/24	24/24
220121	27/27	26/26 (WL: 2)	24/24 (WL: 2)	24/24 (WL: 1)	23/23 (WL: 1)	24/24 (WL: 1)	24/24	24/24 (WL: 1)	23/23 (WL: 1)	24/24 (WL: 2)	25/25 (WL: 1)	24/24 (WL: 1)	24/24 (WL: 2)	26/26	24/24 (WL: 2)	24/24 (WL: 3)
