DATE	A00	B00	C00	D00	E00
220204	0/3	0/6	0/3	0/2	0/2
220215	1/3	1/6	1/3	0/2	0/2
220216	2/3	1/6	1/3	0/2	0/2
220218	3/3	1/6	1/3	0/2	0/2
220221	3/3	2/6	1/3	0/2	0/2
220303	3/3	2/6	1/3	0/2	1/2
220306	3/3	3/6	1/3	0/2	1/2
220307	3/3	4/6	1/3	0/2	1/2
220308	3/3	5/6	1/3	0/2	1/2
220310	3/3	5/6	2/3	0/2	1/2
220314	3/3	6/6	2/3	0/2	1/2
