DATE	A00	A01	A02	B00
220204	N/A	0/37	0/38	N/A
220213	N/A	1/37	0/38	N/A
220215	N/A	4/37	2/38	N/A
220216	N/A	5/37	2/38	N/A
220216	N/A	9/37	4/38	N/A
220218	N/A	8/37	5/38	N/A
220221	N/A	10/37	6/38	N/A
220222	N/A	12/37	6/38	N/A
220224	N/A	14/37	7/38	N/A
220225	N/A	22/37	11/38	N/A
220226	N/A	36/37	25/38	N/A
220227	N/A	37/37	24/38	N/A
220228	N/A	36/37	24/38	N/A
220301	N/A	37/37	26/38	N/A
220302	N/A	37/37 WL1	27/38	N/A
220303	N/A	37/37 WL1	28/38	N/A
220304	N/A	37/37	28/38	N/A
220305	N/A	37/37	29/38	N/A
220306	N/A	37/37	30/38	N/A
220307	N/A	36/37	32/38	N/A
220308	N/A	37/37 WL1	32/38	N/A
220309	N/A	36/37 WL1	31/38	N/A
220311	N/A	36/37 WL1	30/38	N/A
220316	N/A	36/37 WL1	32/38	N/A
220321	N/A	37/37 WL1	32/38	N/A
220323	N/A	37/37 WL1	33/38	N/A
220324	N/A	37/37 WL1	36/38	N/A
220328	N/A	37/37 WL2	38/38 WL1	N/A
220328	N/A	37/37 WL2	37/38 WL3	N/A
220330	N/A	37/37 WL4	37/38 WL3	N/A
220331	N/A	37/37 WL4	37/38 WL2	N/A
220404	N/A	37/37 WL2	37/38	N/A
220405	N/A	37/37 WL2	38/38	N/A
220406	N/A	37/37 WL2	37/38	N/A
220407	N/A	37/37 WL2	38/38 WL1	N/A
220408	N/A	37/37 WL1	38/38	N/A
220412	N/A	37/37 WL1	37/38	N/A
220417	N/A	36/37 WL1	36/38	N/A
220823	75/75 WL3	N/A	N/A	22/30
