DATE	001	002
220204	0/100	N/A
220214	1/100	N/A
220216	18/100	N/A
220216	21/100	N/A
220217	22/100	N/A
220218	29/100	N/A
220221	32/100	N/A
220223	39/100	N/A
220225	41/100	N/A
220227	42/100	N/A
220228	43/100	N/A
220301	46/100	N/A
220302	48/100	N/A
220303	49/100	N/A
220304	52/100	N/A
220306	53/100	N/A
220307	54/100	N/A
220308	56/100	N/A
220312	60/100	N/A
220314	63/100	N/A
220316	66/100	N/A
220317	68/100	N/A
220321	72/100	N/A
220823	48/80	0/10
