DATE	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	G02	H01	H02	I01	I02	J01	J02	K01	K02	L01	L02	M01	M02	N01	N02	O01	O02	P01	P02
211115	3/18	4/18	1/18	15/18	7/18	2/18	5/18	3/18	8/18	12/18	11/18	4/18	2/18	1/18	18/18	16/18	9/18	6/18	9/18	1/18	13/18	1/18	16/18	4/18	0/0	0/0	3/18	3/18	8/18	3/18	0/0	0/0
220102	7/18	6/18	1/18	18/18	18/18	12/18	7/18	5/18	18/18	18/18	18/18	18/18	5/18	1/18	18/18	18/18	16/18	16/18	14/18	3/18	18/18	15/18	18/18	18/18	N/A	N/A	17/18	9/18	18/18	7/18	N/A	N/A
220104	8/18	6/18	1/18	18/18	16/18	12/18	8/18	6/18	18/18	18/18	18/18	18/18	5/18	1/18	18/18	17/18	17/18	17/18	13/18	7/18	18/18 (WL: 1)	17/18	18/18	18/18	N/A	N/A	18/18	8/18	17/18	9/18	N/A	N/A
