DATE	A00
220204	0/75
220212	1/75
220213	3/75
220215	6/75
220216	7/75
220216	8/75
220218	15/75
220221	16/75
220221	24/75
220222	30/75
220223	38/75
220225	51/75
220226	75/75 WL2
220227	75/75 WL4
220228	75/75 WL5
220301	75/75 WL7
220302	75/75 WL6
220303	75/82 WL7
220304	81/82 WL2
220305	82/82 WL2
220307	82/82 WL3
220308	82/82 WL2
220311	82/82 WL4
220312	81/82 WL4
220314	82/82 WL3
220317	82/82 WL4
220323	82/82 WL2
220324	82/82 WL1
220328	81/82 WL2
220328	81/82 WL6
220330	82/92 WL12
220331	92/92 WL1
220405	91/92 WL3
220406	92/92 WL3
220407	96/120
220408	101/120
220410	109/120
