DATE	A00
220204	0/0
220221	0/0 WL101
220221	0/0 WL123
220222	7/0 WL119
220223	44/0 WL93
220224	45/0 WL93
220225	45/0 WL94
220226	45/0 WL97
220227	45/0 WL96
220228	45/0 WL98
220301	46/0 WL99
220302	46/0 WL100
220303	46/0 WL101
220304	46/0 WL102
220305	71/0 WL77
220306	72/0 WL75
220308	73/0 WL75
220309	73/0 WL73
220311	73/0 WL71
220314	74/0 WL70
220316	75/0 WL68
220317	76/0 WL66
220321	98/100 WL42
220323	100/100 WL40
220324	100/100 WL39
220328	100/100 WL36
220328	100/100 WL35
220330	96/100 WL38
220331	100/100 WL33
220404	90/0 WL25
220405	85/0 WL22
220406	84/0 WL21
220407	88/0 WL15
220408	83/0 WL9
220410	83/0 WL8
220417	82/0 WL8
