DATE	A01	A02	A03
220204	0/35	0/35	0/35
220212	0/35	1/35	0/35
220213	1/35	2/35	1/35
220215	10/35	2/35	2/35
220222	10/35	3/35	4/35
220223	14/35	4/35	5/35
220226	15/35	4/35	5/35
220301	18/35	6/35	1/0
220305	20/35	6/35	N/A
