DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220214	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
220215	1	2	1	0	0	2	0	2	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	3	0	0	0	0	1	0	0	0
220216	1	2	1	0	0	2	0	2	1	1	0	0	0	0	0	0	1	0	0	0	2	0	1	3	0	0	0	0	1	0	0	0
220216	1	2	1	0	0	2	0	2	1	1	0	0	0	0	0	0	1	0	0	0	2	0	1	3	0	0	0	0	2	0	0	0
220219	1	2	1	0	0	2	0	2	1	1	1	0	0	0	0	0	1	0	0	0	2	0	1	3	0	0	0	0	2	0	0	0
220223	1	3	1	0	0	2	0	2	1	1	1	0	0	0	0	0	1	0	0	0	2	0	1	3	0	0	0	0	2	0	0	0
220301	1	3	1	0	0	2	0	3	1	1	1	0	0	0	0	0	2	0	0	0	2	0	1	3	0	1	0	1	2	0	0	0
220304	1	3	1	0	1	2	0	3	1	1	1	0	0	0	0	0	2	0	0	0	2	0	1	3	0	1	0	1	2	0	0	0
220307	1	3	1	0	1	2	0	3	1	1	1	0	0	0	0	0	2	0	0	0	2	0	1	3	0	1	1	1	2	0	0	0
220311	1	3	1	0	1	2	1	3	1	1	1	0	0	0	0	0	2	0	0	0	2	0	2	3	0	1	1	1	2	0	0	0
220314	1	3	1	0	1	2	1	3	1	1	1	0	0	0	1	0	2	0	0	0	2	0	2	3	0	1	1	1	2	0	0	0
