DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12
220204	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32
220212	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	1/32	0/32	0/32	0/32
220213	1/32	1/32	5/32	3/32	1/32	0/32	0/32	1/32	2/32	0/32	0/32	0/32
220214	1/32	2/32	6/32	3/32	1/32	1/32	0/32	3/32	4/32	0/32	0/32	0/32
220215	6/32	4/32	13/32	10/32	3/32	1/32	1/32	5/32	6/32	2/32	1/32	0/32
220216	7/32	4/32	15/32	11/32	4/32	1/32	1/32	4/32	7/32	3/32	1/32	0/32
220216	7/32	4/32	15/32	11/32	4/32	2/32	1/32	4/32	5/32	4/32	1/32	0/32
220219	7/32	4/32	15/32	11/32	4/32	1/32	1/32	4/32	5/32	4/32	1/32	0/32
220221	7/32	5/32	16/32	12/32	5/32	1/32	1/32	4/32	5/32	4/32	2/32	0/32
220222	7/32	5/32	15/32	13/32	5/32	1/32	1/32	4/32	5/32	4/32	3/32	0/32
220223	4/32	7/32	25/32	18/32	6/32	1/32	3/32	6/32	9/32	11/32	3/32	2/32
220224	4/32	7/32	25/32	19/32	6/32	1/32	4/32	6/32	9/32	11/32	3/32	2/32
220225	4/32	10/32	27/32	19/32	7/32	1/32	4/32	6/32	10/32	12/32	5/32	2/32
220226	4/32	10/32	27/32	19/32	7/32	1/32	4/32	6/32	10/32	12/32	6/32	2/32
220228	4/32	11/32	27/32	19/32	7/32	1/32	4/32	6/32	10/32	12/32	6/32	2/32
220301	4/32	12/32	26/32	18/32	10/32	1/32	4/32	6/32	10/32	11/32	6/32	2/32
220302	4/32	12/32	27/32	18/32	10/32	1/32	4/32	6/32	10/32	11/32	6/32	2/32
220306	4/32	12/32	27/32	19/32	10/32	1/32	4/32	6/32	10/32	11/32	6/32	2/32
220308	4/32	12/32	27/32	20/32	10/32	1/32	4/32	6/32	10/32	11/32	6/32	2/32
220309	N/A	14/32	29/32	20/32	11/32	N/A	N/A	6/32	10/32	11/32	7/32	N/A
220310	N/A	15/32	29/32	20/32	11/32	N/A	N/A	6/32	10/32	12/32	7/32	N/A
220311	N/A	15/32	29/32	20/32	12/32	N/A	N/A	6/32	10/32	12/32	7/32	N/A
220314	N/A	16/32	29/32	19/32	12/32	N/A	N/A	6/32	10/32	12/32	7/32	N/A
220316	N/A	16/32	29/32	19/32	12/32	N/A	N/A	6/32	10/32	13/32	7/32	N/A
220323	N/A	16/32	29/32	19/32	11/32	N/A	N/A	6/32	10/32	13/32	7/32	N/A
220324	N/A	15/32	29/32	19/32	12/32	N/A	N/A	6/32	11/32	13/32	7/32	N/A
220328	N/A	16/32	28/32	19/32	13/32	N/A	N/A	6/32	11/32	12/32	8/32	N/A
220328	N/A	17/32	28/32	19/32	13/32	N/A	N/A	6/32	11/32	12/32	8/32	N/A
220330	N/A	19/32	27/32	19/32	12/32	N/A	N/A	6/32	10/32	11/32	8/32	N/A
220331	N/A	20/32	27/32	19/32	12/32	N/A	N/A	6/32	12/32	10/32	8/32	N/A
