DATE	A00
220204	0/230
220213	5/230
220214	8/230
220215	20/230
220216	34/230
220216	48/230
220217	49/230
220218	51/230
220219	53/230
220221	54/230
220221	67/230
220222	72/230
220223	112/230
220224	135/230
220225	188/230
220226	192/230
220227	199/230
220228	202/230
220301	206/230
220302	214/230
220303	216/230
220304	218/230
220305	215/230
220307	217/230
220308	219/280
220309	220/280
220311	222/280
220312	223/280
220316	229/280
220317	230/280
220321	234/280
220323	237/280
220324	240/280
220328	262/280
220328	276/280
220330	272/280 WL15
