DATE	A00
220204	0/100
220212	11/100
220213	27/100
220214	31/100
220215	60/100
220216	69/100
220216	72/100
220218	74/100
220219	79/100
220220	80/100
220221	82/100
220221	86/100
220223	90/100
220224	91/100
