DATE	A01	A02
220204	0/35	0/35
220212	0/35	1/35
220213	3/35	4/35
220215	6/35	4/35
220216	8/35	5/35
220218	8/35	6/35
220221	11/35	9/35
220222	12/35	9/35
220223	21/35	13/35
220224	24/35	13/35
220225	26/35	14/35
220226	28/35	15/35
220303	28/35	16/35
220304	28/35	17/35
220306	29/35	17/35
220308	30/35	16/35
220309	31/35	17/35
220310	31/35	18/35
220316	31/35	19/35
220317	34/35	24/35
220321	34/35	26/35
220323	35/35	26/35
220324	34/35	27/35
220328	35/35	31/35
220328	35/35 WL1	34/35 WL1
220330	34/35 WL3	35/35 WL3
220331	35/35 WL2	35/35 WL2
