DATE	A00
220204	0/75
220212	2/75
220213	5/75
220214	6/75
220215	18/75
220216	31/75
220216	37/75
220217	38/75
220218	42/75
220221	43/75
220221	45/75
220222	47/75
220223	70/75
220224	75/75 WL6
220225	75/75 WL10
220226	75/75 WL11
220227	75/75 WL10
220228	75/75 WL11
220303	75/75 WL10
220309	75/75 WL11
220312	75/75 WL10
220317	75/75 WL11
220321	85/90 WL3
220323	83/90 WL2
220324	83/90 WL4
220328	80/90 WL2
220328	79/90 WL4
220330	76/90 WL5
220331	79/90 WL1
220404	78/90 WL1
220405	77/90 WL2
220406	76/90 WL1
