DATE	A00	B00	C00	D00
220204	0/14	0/14	0/14	0/14
220212	0/14	0/14	0/14	1/14
220213	0/14	1/14	0/14	1/14
220214	0/14	2/14	0/14	1/14
220215	2/14	0/14	1/14	2/14
220216	2/14	1/14	2/14	3/14
220216	2/14	3/14	7/14	4/14
220217	2/14	3/14	8/14	4/14
220218	3/14	6/14	11/14	5/14
220221	4/14	6/14	12/14	6/14
220222	4/14	7/14	13/14	6/14
220223	4/14	7/14	14/14	9/14
220224	4/14	7/14	14/14	10/14
220225	6/14	11/14	14/14	12/14
220226	8/14	11/14	14/14	13/14
220227	8/14	12/14	14/14	13/14
220301	8/14	12/14	14/14	12/14
220302	7/14	14/14	14/14	12/14
220303	7/14	13/14	14/14	12/14
220306	7/14	14/14	14/14	12/14
220308	7/14	13/14	14/14	12/14
220311	8/14	14/14	14/14	12/14
220312	8/14	13/14	14/14 WL1	12/14
220314	8/14	14/14	14/14 WL1	12/14
220316	7/14	14/14	14/14 WL1	12/14
220321	8/14	14/14	14/14 WL1	12/14
220323	7/14	14/14	14/14	14/14
220328	8/14	13/14	14/14	13/14
